net,length_um
clknet_0_clk,391.76µm
net266,389.23µm
net271,335.08µm
net270,252.24µm
net264,251.57µm
net25,220.38µm
clk,218.33µm
net267,217.91µm
net269,209.37µm
net22,199.76µm
net265,198.72µm
net30,195.02µm
clknet_3_0_0_clk,174.22µm
clknet_3_2_0_clk,166.68µm
clknet_3_6_0_clk,166.255µm
clknet_3_1_0_clk,159.4µm
net214,158.32µm
_0737_,155.2µm
_0276_,148.54µm
clknet_3_7_0_clk,148.54µm
net33,145.25µm
_0714_,138.98µm
net215,134.12µm
net163,132.92µm
net99,131.48µm
net26,126.59µm
net36,119.77µm
net103,119.33µm
clknet_3_4_0_clk,117.99µm
net39,117.06µm
net82,114.54µm
net105,114.315µm
net268,112.34µm
net41,112.235µm
_0052_,105.085µm
net40,99.54µm
_0053_,98.56µm
net27,96.88µm
net155,96.555µm
clknet_3_5_0_clk,93.52µm
_0735_,89.8µm
net42,88.74µm
_0959_,87.36µm
net167,87.32µm
_0956_,87.16µm
_0054_,85.735µm
net233,84.58µm
_0494_,84.5µm
net38,83.74µm
net91,82.84µm
_0318_,81.52µm
net37,80.22µm
net56,79.355µm
_0317_,77.44µm
_0467_,76.9µm
net170,76.54µm
_0958_,76.42µm
_0495_,71.2µm
_0305_,69.58µm
net85,67.74µm
_0739_,66.2µm
net61,65.86µm
_0394_,64.2µm
net62,63.94µm
clknet_3_3_0_clk,63.84µm
net236,63.38µm
net143,63.16µm
net240,62.92µm
_0733_,62.56µm
_0614_,62.42µm
net204,62.34µm
net257,61.14µm
net126,60.96µm
net190,60.84µm
net125,60.18µm
net173,59.7µm
net106,59.38µm
net202,59.06µm
_0823_,58.94µm
net21,57.92µm
_0727_,57.86µm
_0613_,57.74µm
_0426_,57.44µm
net201,57.36µm
net169,57µm
net109,56.71µm
_0055_,55.925µm
net127,55.9µm
_0436_,55.48µm
_0960_,55.48µm
net168,54.56µm
net45,54.06µm
net256,52.38µm
net203,51.6µm
_0537_,51.465µm
net63,49.52µm
net84,49.5µm
net139,49.49µm
net90,49.18µm
_0746_,48.92µm
net107,48.86µm
net29,48.07µm
net78,47.68µm
_0152_,47.44µm
net243,47.44µm
net17,47.16µm
_0252_,46.66µm
net104,46.52µm
net15,45.515µm
_0154_,45.24µm
net235,45.22µm
net2,45.04µm
_0949_,44.72µm
net191,44.64µm
net189,44.6µm
net73,44.04µm
net93,44.02µm
_0492_,43.6µm
_0637_,43.5µm
net147,43.34µm
_0091_,43.29µm
net66,43.22µm
_0429_,43.14µm
_0119_,42.93µm
net101,42.5µm
net43,42.28µm
_0670_,42.12µm
_0092_,42µm
net246,41.9µm
_0206_,41.82µm
net86,41.555µm
_0186_,41.36µm
_0710_,41.12µm
net83,41.12µm
_0130_,40.7µm
net6,40.685µm
net207,40.3µm
net14,40.02µm
_0185_,39.96µm
net208,39.6µm
net185,39.24µm
net79,39.215µm
_0358_,38.9µm
_0883_,38.66µm
_0780_,38.64µm
net70,38.64µm
net149,38.44µm
net20,38.18µm
_0789_,38.06µm
_0560_,38.02µm
net232,37.94µm
_0855_,37.9µm
_0373_,37.48µm
net130,37.48µm
_0691_,37.26µm
net144,37.12µm
_0320_,37.02µm
net58,36.8µm
_0866_,36.58µm
net59,36.22µm
_0969_,36.14µm
net100,36.02µm
net13,36.01µm
net134,35.72µm
net248,35.72µm
_0536_,35.655µm
_0649_,35.6µm
_0879_,35.4µm
_0327_,35.36µm
_0696_,35.31µm
_0145_,35.2µm
_0056_,35.025µm
net223,35.02µm
_0430_,34.99µm
_0489_,34.9µm
net234,34.84µm
_0726_,34.8µm
net199,34.72µm
_0390_,34.64µm
net9,34.64µm
_0048_,34.62µm
_0016_,34.56µm
_0425_,34.48µm
_0072_,33.78µm
_0331_,33.76µm
net74,33.735µm
net150,33.58µm
_0763_,33.4µm
_0651_,33.38µm
net219,33.32µm
net8,33.27µm
_0108_,33.16µm
_0491_,33.1µm
_0844_,33.04µm
net157,33µm
net77,32.94µm
_0148_,32.82µm
_0132_,32.8µm
net165,32.8µm
_0386_,32.78µm
_0431_,32.59µm
_0882_,32.48µm
_0788_,32.36µm
_0202_,32.34µm
net46,32.325µm
net81,32.3µm
net110,32.26µm
net241,32.2µm
_0840_,32.18µm
net210,31.98µm
_0435_,31.82µm
net148,31.68µm
net80,31.66µm
net16,31.6µm
net10,31.48µm
_0385_,31.42µm
net197,31.42µm
net161,31.16µm
_0342_,31.12µm
_0935_,31.08µm
_0787_,31µm
_0550_,30.94µm
net50,30.94µm
_0837_,30.84µm
net253,30.8µm
_0043_,30.705µm
_0605_,30.47µm
net228,30.42µm
_0865_,30.4µm
net154,30.24µm
net94,30.21µm
_0910_,30.18µm
_0096_,30.06µm
_0077_,29.96µm
_0965_,29.9µm
net111,29.84µm
_0551_,29.805µm
net72,29.74µm
net193,29.72µm
net159,29.66µm
_0664_,29.635µm
_0781_,29.46µm
_0164_,29.3µm
_0010_,29.265µm
_0354_,29.22µm
_0785_,29.02µm
_0836_,29µm
_0453_,28.9µm
_0129_,28.86µm
net180,28.78µm
net239,28.6µm
net237,28.52µm
_0420_,28.38µm
_0936_,28.24µm
_0573_,28.22µm
_0654_,28.1µm
net47,27.985µm
_0098_,27.98µm
_0384_,27.91µm
_0769_,27.86µm
_0155_,27.82µm
net114,27.74µm
_0349_,27.68µm
_0620_,27.64µm
_0026_,27.34µm
_0653_,27.33µm
_0312_,27.26µm
_0846_,27.26µm
_0135_,27.18µm
net120,26.96µm
_0814_,26.94µm
_0684_,26.92µm
_0314_,26.9µm
_0047_,26.855µm
net87,26.76µm
net244,26.64µm
net76,26.58µm
net96,26.54µm
net195,26.52µm
net200,26.52µm
_0366_,26.44µm
net128,26.2µm
_0020_,26.16µm
_0707_,26.14µm
_0900_,26.075µm
_0238_,25.92µm
_0133_,25.9µm
_0343_,25.88µm
_0099_,25.68µm
net97,25.64µm
_0520_,25.56µm
_0652_,25.56µm
net156,25.46µm
_0800_,25.405µm
net224,25.36µm
_0871_,25.08µm
_0082_,25.06µm
_0644_,24.98µm
net92,24.98µm
net137,24.88µm
_0717_,24.825µm
_0801_,24.6µm
_0926_,24.58µm
_0761_,24.46µm
net171,24.3µm
_0493_,24.26µm
net206,24.26µm
net132,24.24µm
_0563_,24.16µm
_0638_,24.12µm
_0708_,24.08µm
_0634_,24.06µm
net102,24.02µm
net166,23.98µm
_0336_,23.96µm
_0695_,23.95µm
_0485_,23.76µm
_0581_,23.76µm
_0299_,23.7µm
net158,23.56µm
net242,23.46µm
_0109_,23.38µm
_0895_,23.26µm
in3[15],23.1µm
_0120_,23.08µm
net19,22.98µm
_0339_,22.94µm
net75,22.94µm
_0774_,22.8µm
_0337_,22.7µm
net71,22.66µm
net192,22.64µm
_0169_,22.6µm
_0404_,22.6µm
_0388_,22.58µm
_0207_,22.54µm
_0539_,22.54µm
_0367_,22.5µm
in3[60],22.48µm
_0709_,22.3µm
_0867_,22.2µm
net88,22.2µm
_0363_,22.18µm
_0256_,22.12µm
_0036_,22.085µm
_0946_,22.005µm
_0236_,22µm
_0679_,22µm
_0602_,21.92µm
_0640_,21.92µm
_0856_,21.74µm
_0097_,21.68µm
_0365_,21.66µm
in1[15],21.6µm
net176,21.58µm
net174,21.56µm
_0382_,21.52µm
_0957_,21.52µm
_0176_,21.5µm
net28,21.38µm
_0360_,21.3µm
_0456_,21.28µm
_0600_,21.18µm
_0190_,21.12µm
_0577_,21.12µm
_0100_,21.08µm
net108,21µm
_0161_,20.96µm
_0648_,20.92µm
_0078_,20.9µm
_0705_,20.88µm
_0636_,20.8µm
_0200_,20.78µm
net131,20.74µm
_0738_,20.7µm
net122,20.7µm
net129,20.62µm
_0277_,20.58µm
_0750_,20.54µm
_0260_,20.52µm
