Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_138_167,VGND,li1,82.5700,386.2400,0.000104
FILLER_138_163,VGND,li1,80.7300,386.2400,0.000104
FILLER_138_153,VGND,li1,76.3600,386.2400,0.000102
FILLER_138_146,VGND,li1,73.1400,386.2400,0.000100
FILLER_138_139,VGND,li1,69.6900,386.2400,0.000099
FILLER_138_133,VGND,li1,66.9300,386.2400,0.000096
FILLER_138_127,VGND,li1,64.4000,386.2400,0.000094
FILLER_138_121,VGND,li1,61.4100,386.2400,0.000091
FILLER_138_111,VGND,li1,56.8100,386.2400,0.000086
FILLER_138_104,VGND,li1,53.8200,386.2400,0.000083
FILLER_138_98,VGND,li1,50.8300,386.2400,0.000078
FILLER_138_92,VGND,li1,48.3000,386.2400,0.000075
FILLER_138_77,VGND,li1,41.1700,386.2400,0.000064
FILLER_138_69,VGND,li1,38.1800,386.2400,0.000056
FILLER_138_62,VGND,li1,34.5000,386.2400,0.000052
FILLER_138_55,VGND,li1,31.0500,386.2400,0.000042
FILLER_138_49,VGND,li1,28.2900,386.2400,0.000038
FILLER_138_41,VGND,li1,24.6100,386.2400,0.000028
FILLER_138_35,VGND,li1,21.8500,386.2400,0.000028
FILLER_138_27,VGND,li1,18.1700,386.2400,0.000030
FILLER_138_13,VGND,li1,11.7300,386.2400,0.000031
FILLER_138_9,VGND,li1,9.8900,386.2400,0.000031
FILLER_137_144,VGND,li1,73.6000,386.2400,0.000100
FILLER_137_128,VGND,li1,64.8600,386.2400,0.000094
FILLER_137_116,VGND,li1,61.6400,386.2400,0.000091
FILLER_137_97,VGND,li1,51.5200,386.2400,0.000081
FILLER_137_85,VGND,li1,47.3800,386.2400,0.000075
FILLER_137_73,VGND,li1,41.8600,386.2400,0.000064
FILLER_137_61,VGND,li1,33.8100,386.2400,0.000047
FILLER_137_57,VGND,li1,32.6600,386.2400,0.000047
FILLER_137_52,VGND,li1,30.3600,386.2400,0.000042
FILLER_137_45,VGND,li1,26.6800,386.2400,0.000032
FILLER_137_35,VGND,li1,21.8500,386.2400,0.000028
FILLER_137_31,VGND,li1,20.7000,386.2400,0.000029
FILLER_137_26,VGND,li1,18.1700,386.2400,0.000030
FILLER_137_10,VGND,li1,10.3500,386.2400,0.000031
FILLER_136_170,VGND,li1,84.4100,380.8000,0.000048
FILLER_136_162,VGND,li1,81.8800,380.8000,0.000048
FILLER_136_153,VGND,li1,76.8200,380.8000,0.000046
FILLER_136_141,VGND,li1,73.1400,380.8000,0.000045
FILLER_136_139,VGND,li1,69.6900,380.8000,0.000043
FILLER_136_135,VGND,li1,68.5400,380.8000,0.000043
FILLER_136_127,VGND,li1,64.1700,380.8000,0.000040
FILLER_136_123,VGND,li1,63.0200,380.8000,0.000040
FILLER_136_105,VGND,li1,54.5100,380.8000,0.000035
FILLER_136_97,VGND,li1,51.9800,380.8000,0.000033
FILLER_136_85,VGND,li1,47.3800,380.8000,0.000030
FILLER_136_83,VGND,li1,43.9300,380.8000,0.000027
FILLER_136_75,VGND,li1,41.8600,380.8000,0.000026
FILLER_136_58,VGND,li1,32.6600,380.8000,0.000018
FILLER_136_46,VGND,li1,29.4400,380.8000,0.000016
FILLER_136_29,VGND,li1,20.2400,380.8000,0.000014
FILLER_136_22,VGND,li1,17.0200,380.8000,0.000014
