Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_138_167,VPWR,li1,82.5700,388.9600,1.799925
FILLER_138_163,VPWR,li1,80.7300,388.9600,1.799925
FILLER_138_153,VPWR,li1,76.3600,388.9600,1.799926
FILLER_138_146,VPWR,li1,73.1400,388.9600,1.799927
FILLER_138_139,VPWR,li1,69.6900,388.9600,1.799927
FILLER_138_133,VPWR,li1,66.9300,388.9600,1.799928
FILLER_138_127,VPWR,li1,64.4000,388.9600,1.799930
FILLER_138_121,VPWR,li1,61.4100,388.9600,1.799931
FILLER_138_111,VPWR,li1,56.8100,388.9600,1.799934
FILLER_138_104,VPWR,li1,53.8200,388.9600,1.799937
FILLER_138_98,VPWR,li1,50.8300,388.9600,1.799939
FILLER_138_92,VPWR,li1,48.3000,388.9600,1.799941
FILLER_138_77,VPWR,li1,41.1700,388.9600,1.799950
FILLER_138_69,VPWR,li1,38.1800,388.9600,1.799955
FILLER_138_62,VPWR,li1,34.5000,388.9600,1.799959
FILLER_138_55,VPWR,li1,31.0500,388.9600,1.799966
FILLER_138_49,VPWR,li1,28.2900,388.9600,1.799969
FILLER_138_41,VPWR,li1,24.6100,388.9600,1.799976
FILLER_138_35,VPWR,li1,21.8500,388.9600,1.799980
FILLER_138_27,VPWR,li1,18.1700,388.9600,1.799979
FILLER_138_13,VPWR,li1,11.7300,388.9600,1.799978
FILLER_138_9,VPWR,li1,9.8900,388.9600,1.799978
FILLER_137_144,VPWR,li1,73.6000,383.5200,1.799940
FILLER_137_128,VPWR,li1,64.8600,383.5200,1.799944
FILLER_137_116,VPWR,li1,61.6400,383.5200,1.799947
FILLER_137_97,VPWR,li1,51.5200,383.5200,1.799955
FILLER_137_85,VPWR,li1,47.3800,383.5200,1.799957
FILLER_137_73,VPWR,li1,41.8600,383.5200,1.799962
FILLER_137_61,VPWR,li1,33.8100,383.5200,1.799970
FILLER_137_57,VPWR,li1,32.6600,383.5200,1.799970
FILLER_137_52,VPWR,li1,30.3600,383.5200,1.799973
FILLER_137_45,VPWR,li1,26.6800,383.5200,1.799978
FILLER_137_35,VPWR,li1,21.8500,383.5200,1.799984
FILLER_137_31,VPWR,li1,20.7000,383.5200,1.799984
FILLER_137_26,VPWR,li1,18.1700,383.5200,1.799984
FILLER_137_10,VPWR,li1,10.3500,383.5200,1.799983
FILLER_136_170,VPWR,li1,84.4100,383.5200,1.799936
FILLER_136_162,VPWR,li1,81.8800,383.5200,1.799937
FILLER_136_153,VPWR,li1,76.8200,383.5200,1.799938
FILLER_136_141,VPWR,li1,73.1400,383.5200,1.799940
FILLER_136_139,VPWR,li1,69.6900,383.5200,1.799942
FILLER_136_135,VPWR,li1,68.5400,383.5200,1.799942
FILLER_136_127,VPWR,li1,64.1700,383.5200,1.799945
FILLER_136_123,VPWR,li1,63.0200,383.5200,1.799945
