net,length_um
clknet_0_clk,519.91µm
net273,393.17µm
net323,388.43µm
_0395_,378.33µm
_0515_,374.22µm
net227,369.52µm
net76,357.34µm
_0559_,352.17µm
_0537_,325.48µm
_0460_,317.11µm
_0373_,308.48µm
net111,295.04µm
net80,291.89µm
_0592_,290.05µm
net203,284.73µm
in1_reg\[13\],282.13µm
_0548_,280.53µm
_0493_,275.22µm
net70,271.9µm
net230,266.93µm
_0504_,266.74µm
_0449_,265.51µm
net191,259.68µm
net105,245.09µm
net268,244.915µm
in1_reg\[15\],241.895µm
in2_reg\[5\],241.39µm
net77,238.76µm
net73,238.435µm
net221,237.64µm
net244,234.09µm
clknet_3_4__leaf_clk,229.67µm
net164,225.02µm
in1_reg\[1\],223.99µm
net117,223.25µm
net182,214.385µm
net78,214.23µm
net216,213.67µm
net142,213.39µm
in1_reg\[6\],213.29µm
net232,208.16µm
net235,206.95µm
net124,206.87µm
net226,205.82µm
net184,204.74µm
net161,200.37µm
net68,199.525µm
net177,199.08µm
net79,198.95µm
clknet_3_1__leaf_clk,198.56µm
net224,197.88µm
in1_reg\[7\],193.69µm
clk,191.67µm
net205,190.935µm
_0417_,190.57µm
net197,188.2µm
net243,188µm
net178,187.58µm
_0362_,187.57µm
net199,187.02µm
net71,186.37µm
_0608_,185.36µm
net185,184.275µm
net187,181.86µm
net170,181.44µm
net33,175.445µm
net125,174.44µm
net267,174.32µm
net90,173.74µm
in1_reg\[14\],173.36µm
net274,172.92µm
net179,172.66µm
net188,171.36µm
net212,170.32µm
net74,168.89µm
net242,168.56µm
net85,165.7µm
net160,165.42µm
net195,164.92µm
net159,163.33µm
_0570_,162.89µm
in2_reg\[15\],162.765µm
net126,162.375µm
in1_reg\[8\],162.3µm
net151,161.48µm
net194,161.04µm
net215,160.53µm
net269,160.4µm
net168,157.53µm
net132,157.1µm
_0607_,155.86µm
net148,155.255µm
clknet_3_7__leaf_clk,154.96µm
in1_reg\[5\],153.96µm
net93,152.97µm
net96,152.08µm
_0427_,151.54µm
net141,151.44µm
net233,150.305µm
_1034_,149.65µm
net193,149.59µm
_0406_,149.44µm
_0232_,149.17µm
net152,149.17µm
in2_reg\[10\],148.68µm
net154,148.22µm
net240,145.81µm
net238,145.21µm
in2_reg\[9\],144.81µm
_1191_,144.64µm
net311,144.63µm
net209,143.36µm
net156,142.805µm
net207,142.595µm
net119,142.265µm
net72,141.815µm
in1_reg\[10\],139.54µm
net272,138.035µm
net206,135.5µm
in1_reg\[4\],135.26µm
net219,134.8µm
net236,134.79µm
net248,134.18µm
net186,133.57µm
net271,132.955µm
net118,127.06µm
net82,126.43µm
net210,125.28µm
net306,125.24µm
net114,124.63µm
net91,123.17µm
net101,121.78µm
net202,120.94µm
net312,120.81µm
in1_reg\[3\],120.27µm
net251,119.74µm
net190,119.64µm
net173,118.25µm
net81,117.42µm
