Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_73_461,VGND,li1,217.8100,212.1600,0.000027
FILLER_73_455,VGND,li1,216.2000,212.1600,0.000027
FILLER_73_447,VGND,li1,211.3700,212.1600,0.000027
FILLER_73_436,VGND,li1,206.3100,212.1600,0.000027
FILLER_73_426,VGND,li1,201.7100,212.1600,0.000026
FILLER_73_419,VGND,li1,198.4900,212.1600,0.000026
FILLER_73_404,VGND,li1,192.2800,212.1600,0.000023
FILLER_73_390,VGND,li1,185.3800,212.1600,0.000020
FILLER_73_382,VGND,li1,183.0800,212.1600,0.000019
FILLER_73_356,VGND,li1,169.9700,212.1600,0.000027
FILLER_73_348,VGND,li1,167.4400,212.1600,0.000030
FILLER_73_330,VGND,li1,158.7000,212.1600,0.000040
FILLER_73_322,VGND,li1,153.8700,212.1600,0.000046
FILLER_73_316,VGND,li1,152.2600,212.1600,0.000046
FILLER_73_309,VGND,li1,148.5800,212.1600,0.000050
FILLER_73_305,VGND,li1,146.5100,212.1600,0.000052
FILLER_73_293,VGND,li1,143.0600,212.1600,0.000056
FILLER_73_281,VGND,li1,137.5400,212.1600,0.000061
FILLER_73_270,VGND,li1,131.1000,212.1600,0.000067
FILLER_73_253,VGND,li1,124.6600,212.1600,0.000072
FILLER_73_239,VGND,li1,115.6900,212.1600,0.000076
FILLER_73_229,VGND,li1,111.5500,212.1600,0.000077
FILLER_73_207,VGND,li1,100.9700,212.1600,0.000078
FILLER_73_199,VGND,li1,98.9000,212.1600,0.000078
FILLER_73_195,VGND,li1,95.4500,212.1600,0.000078
FILLER_73_181,VGND,li1,89.0100,212.1600,0.000078
FILLER_73_177,VGND,li1,87.1700,212.1600,0.000078
FILLER_73_167,VGND,li1,82.5700,212.1600,0.000078
FILLER_73_157,VGND,li1,77.9700,212.1600,0.000078
FILLER_73_153,VGND,li1,76.8200,212.1600,0.000078
FILLER_73_141,VGND,li1,73.1400,212.1600,0.000078
FILLER_73_128,VGND,li1,67.1600,212.1600,0.000077
FILLER_73_111,VGND,li1,56.8100,212.1600,0.000074
FILLER_73_62,VGND,li1,34.2700,212.1600,0.000043
FILLER_73_41,VGND,li1,24.6100,212.1600,0.000022
FILLER_73_29,VGND,li1,21.6200,212.1600,0.000022
FILLER_73_27,VGND,li1,18.1700,212.1600,0.000022
FILLER_73_15,VGND,li1,15.1800,212.1600,0.000022
FILLER_73_3,VGND,li1,9.6600,212.1600,0.000022
FILLER_72_461,VGND,li1,217.8100,206.7200,0.000096
FILLER_72_449,VGND,li1,214.8200,206.7200,0.000095
FILLER_72_363,VGND,li1,172.7300,206.7200,0.000098
FILLER_72_334,VGND,li1,159.3900,206.7200,0.000159
FILLER_72_307,VGND,li1,146.9700,206.7200,0.000209
FILLER_72_303,VGND,li1,145.8200,206.7200,0.000209
FILLER_72_287,VGND,li1,138.0000,206.7200,0.000234
FILLER_72_268,VGND,li1,129.0300,206.7200,0.000265
FILLER_72_258,VGND,li1,124.4300,206.7200,0.000275
FILLER_72_255,VGND,li1,123.0500,206.7200,0.000275
FILLER_72_230,VGND,li1,111.5500,206.7200,0.000298
FILLER_72_213,VGND,li1,103.7300,206.7200,0.000306
FILLER_72_154,VGND,li1,76.5900,206.7200,0.000297
FILLER_72_129,VGND,li1,66.7000,206.7200,0.000275
FILLER_72_120,VGND,li1,60.9500,206.7200,0.000257
FILLER_72_97,VGND,li1,50.3700,206.7200,0.000218
FILLER_72_83,VGND,li1,43.9300,206.7200,0.000186
FILLER_72_63,VGND,li1,34.7300,206.7200,0.000141
FILLER_72_41,VGND,li1,24.6100,206.7200,0.000071
FILLER_72_29,VGND,li1,21.6200,206.7200,0.000071
FILLER_72_27,VGND,li1,18.1700,206.7200,0.000071
FILLER_72_15,VGND,li1,15.1800,206.7200,0.000071
FILLER_72_3,VGND,li1,9.6600,206.7200,0.000071
FILLER_71_457,VGND,li1,215.9700,206.7200,0.000096
FILLER_71_449,VGND,li1,213.9000,206.7200,0.000095
FILLER_71_447,VGND,li1,211.3700,206.7200,0.000095
FILLER_71_435,VGND,li1,208.3800,206.7200,0.000094
FILLER_71_412,VGND,li1,195.2700,206.7200,0.000086
FILLER_71_391,VGND,li1,185.6100,206.7200,0.000076
FILLER_71_329,VGND,li1,157.3200,206.7200,0.000172
FILLER_71_310,VGND,li1,148.8100,206.7200,0.000199
FILLER_71_300,VGND,li1,143.7500,206.7200,0.000216
FILLER_71_281,VGND,li1,135.4700,206.7200,0.000242
FILLER_71_279,VGND,li1,134.0900,206.7200,0.000249
FILLER_71_233,VGND,li1,113.1600,206.7200,0.000295
FILLER_71_207,VGND,li1,101.4300,206.7200,0.000308
FILLER_71_195,VGND,li1,96.1400,206.7200,0.000312
FILLER_71_186,VGND,li1,91.5400,206.7200,0.000313
FILLER_71_169,VGND,li1,83.4900,206.7200,0.000309
FILLER_71_157,VGND,li1,77.9700,206.7200,0.000302
FILLER_71_113,VGND,li1,57.7300,206.7200,0.000247
FILLER_71_78,VGND,li1,41.6300,206.7200,0.000175
FILLER_71_55,VGND,li1,31.0500,206.7200,0.000112
FILLER_71_49,VGND,li1,28.9800,206.7200,0.000093
FILLER_71_39,VGND,li1,25.3000,206.7200,0.000071
FILLER_71_27,VGND,li1,20.7000,206.7200,0.000071
FILLER_71_15,VGND,li1,15.1800,206.7200,0.000071
FILLER_71_3,VGND,li1,9.6600,206.7200,0.000071
FILLER_70_459,VGND,li1,217.3500,201.2800,0.000084
FILLER_70_447,VGND,li1,213.9000,201.2800,0.000084
FILLER_70_435,VGND,li1,208.3800,201.2800,0.000083
FILLER_70_411,VGND,li1,194.8100,201.2800,0.000078
FILLER_70_355,VGND,li1,169.0500,201.2800,0.000109
FILLER_70_326,VGND,li1,158.2400,201.2800,0.000155
FILLER_70_317,VGND,li1,151.5700,201.2800,0.000182
FILLER_70_309,VGND,li1,149.0400,201.2800,0.000191
FILLER_70_304,VGND,li1,146.2800,201.2800,0.000200
FILLER_70_286,VGND,li1,137.3100,201.2800,0.000240
FILLER_70_280,VGND,li1,135.7000,201.2800,0.000240
FILLER_70_267,VGND,li1,128.5700,201.2800,0.000267
FILLER_70_235,VGND,li1,113.8500,201.2800,0.000314
FILLER_70_214,VGND,li1,104.4200,201.2800,0.000305
FILLER_70_184,VGND,li1,90.3900,201.2800,0.000280
FILLER_70_155,VGND,li1,78.6600,201.2800,0.000250
FILLER_70_127,VGND,li1,64.8600,201.2800,0.000211
FILLER_70_101,VGND,li1,52.4400,201.2800,0.000171
FILLER_70_96,VGND,li1,50.3700,201.2800,0.000165
FILLER_70_83,VGND,li1,43.9300,201.2800,0.000135
FILLER_70_79,VGND,li1,42.0900,201.2800,0.000127
FILLER_70_65,VGND,li1,36.8000,201.2800,0.000109
FILLER_70_61,VGND,li1,34.0400,201.2800,0.000097
FILLER_70_53,VGND,li1,31.7400,201.2800,0.000085
FILLER_70_41,VGND,li1,27.1400,201.2800,0.000061
FILLER_70_29,VGND,li1,21.6200,201.2800,0.000051
FILLER_70_27,VGND,li1,18.1700,201.2800,0.000051
FILLER_70_15,VGND,li1,15.1800,201.2800,0.000051
FILLER_70_3,VGND,li1,9.6600,201.2800,0.000051
FILLER_69_457,VGND,li1,215.9700,201.2800,0.000084
FILLER_69_449,VGND,li1,213.9000,201.2800,0.000084
FILLER_69_442,VGND,li1,210.2200,201.2800,0.000083
FILLER_69_430,VGND,li1,206.0800,201.2800,0.000082
FILLER_69_409,VGND,li1,193.8900,201.2800,0.000076
FILLER_69_389,VGND,li1,185.1500,201.2800,0.000069
FILLER_69_383,VGND,li1,182.1600,201.2800,0.000066
FILLER_69_343,VGND,li1,163.5300,201.2800,0.000128
FILLER_69_337,VGND,li1,160.7700,201.2800,0.000147
FILLER_69_309,VGND,li1,147.8900,201.2800,0.000200
FILLER_69_289,VGND,li1,138.6900,201.2800,0.000232
FILLER_69_269,VGND,li1,129.4900,201.2800,0.000267
FILLER_69_223,VGND,li1,108.3300,201.2800,0.000308
FILLER_69_217,VGND,li1,106.7200,201.2800,0.000308
FILLER_69_208,VGND,li1,101.4300,201.2800,0.000300
FILLER_69_204,VGND,li1,99.5900,201.2800,0.000297
FILLER_69_169,VGND,li1,83.4900,201.2800,0.000264
FILLER_69_146,VGND,li1,75.4400,201.2800,0.000241
FILLER_69_133,VGND,li1,67.6200,201.2800,0.000219
FILLER_69_121,VGND,li1,63.9400,201.2800,0.000203
FILLER_69_113,VGND,li1,57.7300,201.2800,0.000187
FILLER_69_111,VGND,li1,56.8100,201.2800,0.000181
FILLER_69_86,VGND,li1,46.0000,201.2800,0.000146
FILLER_69_73,VGND,li1,40.0200,201.2800,0.000117
FILLER_69_55,VGND,li1,31.0500,201.2800,0.000075
FILLER_69_51,VGND,li1,29.9000,201.2800,0.000075
FILLER_69_39,VGND,li1,26.2200,201.2800,0.000051
FILLER_69_27,VGND,li1,20.7000,201.2800,0.000051
FILLER_69_15,VGND,li1,15.1800,201.2800,0.000051
FILLER_69_3,VGND,li1,9.6600,201.2800,0.000051
FILLER_68_461,VGND,li1,217.8100,195.8400,0.000134
FILLER_68_455,VGND,li1,216.2000,195.8400,0.000134
FILLER_68_428,VGND,li1,202.6300,195.8400,0.000129
FILLER_68_424,VGND,li1,201.4800,195.8400,0.000129
