Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_73_461,VPWR,li1,217.8100,209.4400,1.799907
FILLER_73_455,VPWR,li1,216.2000,209.4400,1.799907
FILLER_73_447,VPWR,li1,211.3700,209.4400,1.799907
FILLER_73_436,VPWR,li1,206.3100,209.4400,1.799907
FILLER_73_426,VPWR,li1,201.7100,209.4400,1.799909
FILLER_73_419,VPWR,li1,198.4900,209.4400,1.799911
FILLER_73_404,VPWR,li1,192.2800,209.4400,1.799917
FILLER_73_390,VPWR,li1,185.3800,209.4400,1.799925
FILLER_73_382,VPWR,li1,183.0800,209.4400,1.799929
FILLER_73_356,VPWR,li1,169.9700,209.4400,1.799911
FILLER_73_348,VPWR,li1,167.4400,209.4400,1.799903
FILLER_73_330,VPWR,li1,158.7000,209.4400,1.799865
FILLER_73_322,VPWR,li1,153.8700,209.4400,1.799838
FILLER_73_316,VPWR,li1,152.2600,209.4400,1.799838
FILLER_73_309,VPWR,li1,148.5800,209.4400,1.799825
FILLER_73_305,VPWR,li1,146.5100,209.4400,1.799815
FILLER_73_293,VPWR,li1,143.0600,209.4400,1.799800
FILLER_73_281,VPWR,li1,137.5400,209.4400,1.799785
FILLER_73_270,VPWR,li1,131.1000,209.4400,1.799766
FILLER_73_253,VPWR,li1,124.6600,209.4400,1.799750
FILLER_73_239,VPWR,li1,115.6900,209.4400,1.799732
FILLER_73_229,VPWR,li1,111.5500,209.4400,1.799727
FILLER_73_207,VPWR,li1,100.9700,209.4400,1.799719
FILLER_73_199,VPWR,li1,98.9000,209.4400,1.799717
FILLER_73_195,VPWR,li1,95.4500,209.4400,1.799717
FILLER_73_181,VPWR,li1,89.0100,209.4400,1.799717
FILLER_73_177,VPWR,li1,87.1700,209.4400,1.799718
FILLER_73_167,VPWR,li1,82.5700,209.4400,1.799721
FILLER_73_157,VPWR,li1,77.9700,209.4400,1.799726
FILLER_73_153,VPWR,li1,76.8200,209.4400,1.799729
FILLER_73_141,VPWR,li1,73.1400,209.4400,1.799735
FILLER_73_128,VPWR,li1,67.1600,209.4400,1.799745
FILLER_73_111,VPWR,li1,56.8100,209.4400,1.799766
FILLER_73_62,VPWR,li1,34.2700,209.4400,1.799860
FILLER_73_41,VPWR,li1,24.6100,209.4400,1.799918
FILLER_73_29,VPWR,li1,21.6200,209.4400,1.799937
FILLER_73_27,VPWR,li1,18.1700,209.4400,1.799937
FILLER_73_15,VPWR,li1,15.1800,209.4400,1.799937
FILLER_73_3,VPWR,li1,9.6600,209.4400,1.799937
FILLER_72_461,VPWR,li1,217.8100,209.4400,1.799907
FILLER_72_449,VPWR,li1,214.8200,209.4400,1.799907
FILLER_72_363,VPWR,li1,172.7300,209.4400,1.799922
FILLER_72_334,VPWR,li1,159.3900,209.4400,1.799865
FILLER_72_307,VPWR,li1,146.9700,209.4400,1.799815
FILLER_72_303,VPWR,li1,145.8200,209.4400,1.799815
FILLER_72_287,VPWR,li1,138.0000,209.4400,1.799785
FILLER_72_268,VPWR,li1,129.0300,209.4400,1.799757
FILLER_72_258,VPWR,li1,124.4300,209.4400,1.799750
FILLER_72_255,VPWR,li1,123.0500,209.4400,1.799745
FILLER_72_230,VPWR,li1,111.5500,209.4400,1.799727
FILLER_72_213,VPWR,li1,103.7300,209.4400,1.799721
FILLER_72_154,VPWR,li1,76.5900,209.4400,1.799729
FILLER_72_129,VPWR,li1,66.7000,209.4400,1.799745
FILLER_72_120,VPWR,li1,60.9500,209.4400,1.799756
FILLER_72_97,VPWR,li1,50.3700,209.4400,1.799786
FILLER_72_83,VPWR,li1,43.9300,209.4400,1.799812
FILLER_72_63,VPWR,li1,34.7300,209.4400,1.799860
FILLER_72_41,VPWR,li1,24.6100,209.4400,1.799918
FILLER_72_29,VPWR,li1,21.6200,209.4400,1.799937
FILLER_72_27,VPWR,li1,18.1700,209.4400,1.799937
FILLER_72_15,VPWR,li1,15.1800,209.4400,1.799937
FILLER_72_3,VPWR,li1,9.6600,209.4400,1.799937
FILLER_71_457,VPWR,li1,215.9700,204.0000,1.799931
FILLER_71_449,VPWR,li1,213.9000,204.0000,1.799931
FILLER_71_447,VPWR,li1,211.3700,204.0000,1.799932
FILLER_71_435,VPWR,li1,208.3800,204.0000,1.799932
FILLER_71_412,VPWR,li1,195.2700,204.0000,1.799936
FILLER_71_391,VPWR,li1,185.6100,204.0000,1.799942
FILLER_71_329,VPWR,li1,157.3200,204.0000,1.799911
FILLER_71_310,VPWR,li1,148.8100,204.0000,1.799891
FILLER_71_300,VPWR,li1,143.7500,204.0000,1.799877
FILLER_71_281,VPWR,li1,135.4700,204.0000,1.799865
FILLER_71_279,VPWR,li1,134.0900,204.0000,1.799861
FILLER_71_233,VPWR,li1,113.1600,204.0000,1.799828
FILLER_71_207,VPWR,li1,101.4300,204.0000,1.799822
FILLER_71_195,VPWR,li1,96.1400,204.0000,1.799822
FILLER_71_186,VPWR,li1,91.5400,204.0000,1.799822
FILLER_71_169,VPWR,li1,83.4900,204.0000,1.799824
FILLER_71_157,VPWR,li1,77.9700,204.0000,1.799827
FILLER_71_113,VPWR,li1,57.7300,204.0000,1.799854
FILLER_71_78,VPWR,li1,41.6300,204.0000,1.799893
FILLER_71_55,VPWR,li1,31.0500,204.0000,1.799926
FILLER_71_49,VPWR,li1,28.9800,204.0000,1.799933
FILLER_71_39,VPWR,li1,25.3000,204.0000,1.799947
FILLER_71_27,VPWR,li1,20.7000,204.0000,1.799964
FILLER_71_15,VPWR,li1,15.1800,204.0000,1.799964
FILLER_71_3,VPWR,li1,9.6600,204.0000,1.799964
FILLER_70_459,VPWR,li1,217.3500,204.0000,1.799931
FILLER_70_447,VPWR,li1,213.9000,204.0000,1.799931
FILLER_70_435,VPWR,li1,208.3800,204.0000,1.799932
FILLER_70_411,VPWR,li1,194.8100,204.0000,1.799936
FILLER_70_355,VPWR,li1,169.0500,204.0000,1.799940
FILLER_70_326,VPWR,li1,158.2400,204.0000,1.799911
FILLER_70_317,VPWR,li1,151.5700,204.0000,1.799896
