net,length_um
net186,1.346335mm
net187,1.108155mm
clknet_0_clk_regs,1.07942mm
net64,1.0781mm
net63,1.06953mm
net15,1.05818mm
net62,1.03042mm
net61,1.01897mm
net17,1.00032mm
net48,954.22µm
net59,952.18µm
net31,943.84µm
net60,934.1µm
net43,925.49µm
net29,920.83µm
net49,884.78µm
net58,884.34µm
net46,874.5µm
net47,852.9µm
net50,805.18µm
net45,799.88µm
net160,785.18µm
net156,751.97µm
net122,750.39µm
clknet_1_0__leaf_clk,746.605µm
net158,745.3µm
net123,744.13µm
_0198_,735.99µm
net65,735.71µm
net157,732.96µm
net54,721.7µm
net52,710.34µm
net53,700.9µm
net51,695.96µm
net16,691.5µm
clknet_1_1__leaf_clk,690.39µm
net38,684.2µm
net32,678.28µm
net168,668.78µm
net14,667.16µm
net13,664.94µm
net181,662.48µm
net39,656.96µm
net5,649.87µm
net22,644.82µm
net37,643.33µm
net159,640.86µm
net6,634.96µm
net21,632.7µm
net179,630.88µm
_0119_,623.815µm
net164,618.79µm
net183,618.58µm
net104,612.43µm
net182,609.14µm
net178,606.58µm
net35,605.66µm
net36,602.44µm
net24,596.55µm
net25,596.52µm
clk,595.36µm
net7,594.98µm
net19,594.88µm
net34,594.14µm
net177,590.24µm
net180,588.82µm
net150,588.28µm
net106,584.07µm
net153,578.08µm
net20,575.62µm
net42,574.56µm
_0086_,571.805µm
_0087_,571.315µm
net2,570.93µm
net176,567.32µm
net175,566.88µm
net151,565.635µm
p_hh\[14\],564.77µm
net149,563.08µm
p_hl\[23\],562.55µm
net152,561.695µm
_0079_,559.155µm
net4,558.66µm
p_hh\[15\],558.23µm
_0077_,553.845µm
term_mid\[37\],553.15µm
net174,550.6µm
net41,546.18µm
net173,544.36µm
term_mid\[36\],544.05µm
net18,543.8µm
term_low\[30\],540.48µm
_0089_,540.345µm
net185,539.92µm
net55,537.73µm
p_hl\[25\],536.94µm
net30,535.86µm
_0078_,534.345µm
p_lh\[16\],533.32µm
net172,531.46µm
net162,530.5µm
net129,526.13µm
net184,522.66µm
p_ll\[9\],521.82µm
net145,518.52µm
p_lh\[19\],518.48µm
p_hh\[12\],517.94µm
net148,517.72µm
net1,517.62µm
net142,517.145µm
net161,515.26µm
clknet_4_15_0_clk_regs,514.7µm
p_hl\[24\],514.42µm
net40,514.1µm
net44,514.05µm
_0099_,513.965µm
p_hl\[22\],510.2µm
net56,508.38µm
net12,508.22µm
_0038_,507.165µm
p_hh\[17\],506.18µm
net163,503.46µm
net85,503.28µm
net28,502.26µm
net143,500.98µm
net124,499.41µm
net165,499.12µm
net3,498.45µm
p_hl\[21\],498µm
net167,497.86µm
net166,497.76µm
net27,497.395µm
net33,497.07µm
net23,497µm
net128,495.67µm
net144,495.54µm
net84,491.21µm
p_ll\[11\],491.02µm
p_hh\[13\],489.84µm
p_ll\[10\],489.8µm
p_hl\[26\],489.64µm
_0128_,489.085µm
p_lh\[27\],488.13µm
p_lh\[18\],486.24µm
net26,482.36µm
p_hh\[18\],481.7µm
p_hh\[11\],480.68µm
net171,475.9µm
_0040_,472.455µm
p_lh\[30\],469.205µm
net74,466.87µm
net127,466.58µm
_0101_,465.215µm
net57,460.1µm
net146,459.42µm
net170,457.92µm
p_hh\[19\],457.87µm
p_ll\[12\],457.42µm
net169,455.18µm
p_hl\[20\],454.56µm
net72,453.97µm
p_hh\[10\],453.915µm
p_lh\[31\],453.49µm
net83,453.12µm
net107,452.49µm
clknet_4_12_0_clk_regs,447.64µm
net141,446.94µm
p_hh\[16\],445.08µm
p_lh\[29\],443.74µm
p_ll\[13\],443.03µm
net11,438.76µm
term_low\[29\],438.23µm
term_high\[37\],438.17µm
p_hh\[9\],436.9µm
net126,431.95µm
net139,431.815µm
net73,430.37µm
p_lh\[28\],429.86µm
_0102_,429.305µm
net82,428.26µm
p_ll\[8\],423.92µm
term_high\[63\],423.54µm
net8,422.3µm
net98,421.34µm
_0104_,415.905µm
net66,414.75µm
net9,413.5µm
net10,412.24µm
net105,412.18µm
net95,407.21µm
net121,404.21µm
net71,398.73µm
clknet_4_10_0_clk_regs,396.54µm
net94,395.63µm
_0103_,394.485µm
net154,393.72µm
clknet_4_11_0_clk_regs,385.88µm
net100,384.62µm
term_high\[61\],383.29µm
net97,382.69µm
term_mid\[43\],379.47µm
p_lh\[1\],376.58µm
term_mid\[42\],376.09µm
p_ll\[14\],374.36µm
net101,371.59µm
_0167_,371.105µm
net110,370.75µm
net70,370.13µm
net96,368.89µm
net91,367.77µm
net93,364.49µm
p_hh\[8\],353.14µm
_0105_,353.105µm
net140,351.04µm
net92,348.17µm
net155,347.78µm
p_ll\[6\],347.23µm
_0048_,346.74µm
p_ll\[31\],346.17µm
net99,345.37µm
net69,344.09µm
p_lh\[21\],342.7µm
p_ll\[3\],341.93µm
p_lh\[24\],340.28µm
p_ll\[16\],340.05µm
p_lh\[20\],339.06µm
p_lh\[26\],338.82µm
_0049_,337.24µm
p_ll\[7\],333.79µm
p_lh\[25\],331.68µm
p_lh\[22\],329.82µm
p_ll\[18\],327.51µm
_0098_,327.245µm
p_ll\[1\],326.25µm
_0100_,326.165µm
_0039_,325.9µm
_0043_,325.425µm
_0166_,323.5µm
p_lh\[23\],322.44µm
net108,321.56µm
net68,321.49µm
net109,318.36µm
_0042_,313.885µm
net88,312.51µm
p_ll\[5\],310.95µm
_0107_,306.22µm
p_lh\[0\],304.77µm
net76,304.49µm
p_hh_pipe\[6\],304.35µm
p_ll\[0\],303.91µm
p_hh\[7\],303.29µm
p_ll\[4\],298.94µm
p_hl\[28\],298.63µm
net75,298.47µm
net77,297.91µm
_0041_,296.66µm
p_hl\[27\],295.12µm
net125,293.5µm
p_ll\[15\],287.9µm
_0108_,287.14µm
net67,286.91µm
p_hl\[29\],280.695µm
net78,278.15µm
p_hl\[30\],278.11µm
_0015_,270.15µm
clknet_4_0_0_clk_regs,269.74µm
clknet_4_4_0_clk_regs,269.255µm
p_ll\[17\],269.25µm
term_high\[62\],267.28µm
net147,266.92µm
p_ll\[30\],266.3µm
_0060_,263.905µm
p_hl\[19\],262.87µm
p_hh\[26\],260.09µm
clknet_0_clk,254.46µm
p_ll\[19\],253.12µm
_0088_,252.345µm
_0032_,252.225µm
p_hl\[17\],247.66µm
p_hh\[25\],245.64µm
_0033_,244.56µm
_0027_,241.48µm
p_hl\[31\],241.19µm
_0110_,237.345µm
clknet_4_6_0_clk_regs,236.46µm
p_hh\[20\],234.57µm
net89,232.35µm
p_hh\[24\],228.93µm
clknet_4_8_0_clk_regs,227.16µm
p_hl\[16\],225.49µm
p_hh\[22\],224.78µm
clknet_4_7_0_clk_regs,223.89µm
p_ll_pipe\[14\],223.8µm
_0097_,223.385µm
p_ll_pipe\[19\],223.3µm
net90,222.96µm
net118,221.44µm
p_ll\[2\],219.92µm
p_hh\[21\],218.09µm
_0028_,214.56µm
_0106_,210.345µm
_0244_,207.66µm
p_lh\[10\],206.6µm
p_hh_pipe\[2\],205.78µm
term_high\[50\],204.12µm
_0162_,204.105µm
_0157_,201.705µm
p_hl\[18\],201.47µm
p_hh_pipe\[3\],200.72µm
_0144_,200.525µm
net87,198.17µm
p_ll\[29\],197.52µm
_0109_,196.825µm
p_hh_pipe\[27\],196.48µm
_0012_,195.985µm
delaynet_0_clk,194.52µm
_0247_,189.68µm
_0148_,188.74µm
net368,186.34µm
_0011_,185.82µm
net86,184.71µm
clknet_4_2_0_clk_regs,184.08µm
net111,182.33µm
clknet_4_3_0_clk_regs,182.12µm
p_lh\[8\],181.28µm
_0036_,180.875µm
p_hh\[28\],178.34µm
_0143_,177.645µm
p_hh_pipe\[19\],175.655µm
p_lh\[7\],172.52µm
net367,171.82µm
_0112_,169.165µm
net120,167.78µm
_0138_,166.285µm
p_ll_pipe\[17\],164.2µm
p_lh\[9\],163.75µm
p_lh\[2\],161.3µm
_0250_,160.895µm
_0059_,159.485µm
clknet_4_9_0_clk_regs,158.74µm
_0142_,158.4µm
clk_regs,157µm
net117,156.09µm
net119,150.75µm
_0058_,150.045µm
net112,148.46µm
net374,145.38µm
p_ll_pipe\[13\],143.28µm
_0010_,142.465µm
net113,142.39µm
net79,140.37µm
_0150_,135.725µm
term_high\[57\],135.315µm
p_ll\[27\],132.41µm
p_hl\[15\],131.79µm
clknet_4_5_0_clk_regs,130.08µm
net114,130.01µm
_0090_,128.48µm
term_high\[56\],127.19µm
clknet_4_13_0_clk_regs,126.2µm
clknet_4_1_0_clk_regs,125.93µm
_0111_,125.58µm
p_ll_pipe\[20\],123.38µm
p_lh\[5\],122.78µm
_0139_,122.315µm
p_ll\[28\],121.19µm
_0163_,120.9µm
net133,120.84µm
net115,120.27µm
net130,119.4µm
p_lh\[6\],119.35µm
_0127_,119.065µm
p_ll\[24\],116.66µm
p_lh\[4\],116.535µm
net80,115.05µm
_0093_,113.42µm
p_hl\[8\],111.75µm
net81,110.06µm
_0147_,109.88µm
term_high\[44\],109.69µm
net116,109.31µm
p_ll_pipe\[16\],108.48µm
net325,106.42µm
_0180_,103.93µm
term_high\[51\],96.95µm
_0115_,94.975µm
net131,93.78µm
clknet_4_14_0_clk_regs,93.04µm
p_hh_pipe\[18\],92.42µm
_0145_,91.675µm
net132,90.105µm
_0082_,89.96µm
net369,87.52µm
p_hh_pipe\[30\],87.48µm
p_hl\[14\],86.85µm
p_ll_pipe\[29\],86.26µm
_0158_,86.125µm
p_ll\[21\],85.1µm
net359,84.48µm
p_ll\[26\],84.06µm
p_ll\[22\],82.92µm
p_lh\[3\],81.57µm
_0159_,81.385µm
net351,80.9µm
p_hh\[4\],79.83µm
p_lh\[13\],77.84µm
_0116_,77.72µm
p_ll\[20\],77.5µm
p_lh\[12\],76.82µm
_0096_,76.705µm
_0023_,76.545µm
net350,76.3µm
_0025_,75.505µm
net346,75.4µm
net364,74.76µm
_0018_,74.125µm
_0118_,73.685µm
_0055_,73.4µm
p_hh\[23\],73.04µm
p_lh\[11\],72.34µm
net366,71.18µm
term_low\[12\],70.63µm
p_lh\[15\],70.59µm
p_hh\[0\],69.81µm
_0193_,69.68µm
net356,69.48µm
p_ll\[23\],68.88µm
term_high\[55\],68.88µm
term_mid\[44\],68.75µm
p_hh\[1\],67.59µm
mid_sum\[30\],67.36µm
mid_sum\[17\],66.1µm
mid_sum\[11\],65µm
_0044_,64.225µm
term_high\[53\],62.12µm
net323,61.52µm
_0120_,61.405µm
p_hl\[11\],61.24µm
p_hh_pipe\[28\],61.2µm
_0061_,60.14µm
net337,60.08µm
_0022_,59.855µm
net330,59.72µm
_0092_,59.22µm
p_ll_pipe\[26\],59.08µm
term_high\[52\],58.6µm
mid_sum\[20\],58.28µm
_0141_,58.1µm
term_high\[49\],57.95µm
net332,57.94µm
_0177_,57.7µm
net361,57.1µm
_0122_,57.065µm
_0046_,56.465µm
p_ll_pipe\[23\],56.16µm
_0137_,55.98µm
p_hl\[0\],55.95µm
_0308_,55.91µm
mid_sum\[12\],55.84µm
_0179_,55.525µm
term_high\[48\],55.43µm
p_hl\[6\],55.34µm
_0178_,55.085µm
_0113_,54.78µm
_0021_,54.685µm
term_high\[54\],54.54µm
p_ll\[25\],54.32µm
_0053_,54.105µm
_0031_,54µm
_0054_,53.585µm
net365,53.56µm
p_hh_pipe\[1\],53.44µm
p_hh_pipe\[16\],53.42µm
_0184_,53.4µm
_0047_,52.925µm
_0146_,52.38µm
term_low\[13\],52.35µm
p_hh_pipe\[4\],52.1µm
_0056_,52.065µm
_0121_,51.86µm
_0045_,51.745µm
_0050_,51.225µm
_0016_,51.02µm
term_low\[28\],50.85µm
_0169_,50.8µm
_0020_,50.625µm
term_low\[9\],50.28µm
_0175_,50.065µm
p_ll_pipe\[25\],49.84µm
p_ll_pipe\[21\],49.76µm
p_hl\[2\],49.485µm
_0316_,49.32µm
_0171_,49.26µm
_0332_,48.935µm
_0290_,48.84µm
net336,48.32µm
_0190_,47.92µm
p_hh_pipe\[7\],47.72µm
_0063_,47.185µm
term_mid\[48\],46.91µm
_0173_,46.885µm
_0174_,46.7µm
p_hl\[12\],46.58µm
_0126_,46.465µm
net373,46.36µm
_0013_,46.265µm
_0051_,46.2µm
_0160_,45.76µm
_0376_,45.7µm
_0307_,45.675µm
_0183_,45.445µm
p_hh\[2\],45.31µm
net102,45.31µm
_0074_,45.3µm
_0164_,45.125µm
p_hl\[7\],44.57µm
_0293_,44.52µm
_0172_,44.4µm
net331,44.4µm
net134,44.355µm
_0191_,43.765µm
_0072_,43.685µm
term_low\[11\],43.58µm
_0117_,43.46µm
_0073_,43.4µm
_0005_,43.205µm
_0019_,43.165µm
_0331_,43.12µm
_0185_,42.985µm
p_hl\[13\],42.56µm
p_ll_pipe\[24\],42.24µm
_0026_,42.205µm
_0176_,41.765µm
_0029_,41.465µm
_0284_,41.12µm
p_ll_pipe\[18\],40.94µm
p_hl\[1\],40.92µm
_0094_,40.865µm
_0186_,40.625µm
_0062_,40.305µm
_0153_,40.08µm
term_low\[20\],39.89µm
p_hl\[9\],39.775µm
_0030_,39.625µm
_0188_,39.5µm
_0181_,39.405µm
p_hl\[3\],39.33µm
_0123_,39.3µm
_0014_,39.26µm
net103,39.19µm
p_hl\[4\],39.15µm
p_hh\[3\],38.95µm
_0091_,38.645µm
_0405_,38.62µm
_0024_,38.54µm
term_high\[58\],38.48µm
p_hl\[10\],38.36µm
mid_sum\[16\],38.22µm
_0052_,38.145µm
net312,38.04µm
term_mid\[26\],38.01µm
_0182_,37.985µm
_0294_,37.86µm
term_low\[14\],37.52µm
term_high\[42\],37.49µm
term_low\[27\],37.33µm
term_high\[45\],37.13µm
_0189_,37.08µm
_0149_,36.965µm
term_low\[23\],36.91µm
term_low\[21\],36.89µm
term_low\[26\],36.85µm
_0003_,36.845µm
_0002_,36.785µm
_0125_,36.785µm
term_high\[47\],36.19µm
_0007_,36.16µm
term_high\[43\],36.13µm
p_lh\[14\],35.91µm
net328,35.86µm
_0076_,35.765µm
mid_sum\[9\],35.7µm
term_low\[24\],35.51µm
_0347_,35.3µm
net311,35.22µm
net371,35.18µm
_0057_,34.845µm
_0081_,34.78µm
term_high\[60\],34.43µm
_0124_,34.32µm
_0212_,34.2µm
_0009_,34.065µm
p_hh_pipe\[29\],33.96µm
_0034_,33.865µm
_0220_,33.56µm
term_low\[7\],33.41µm
_0085_,33.405µm
p_hh_pipe\[12\],33.3µm
term_low\[25\],33.03µm
term_low\[1\],32.73µm
term_high\[33\],32.53µm
_0035_,32.505µm
_0408_,32.38µm
_0001_,32.345µm
term_high\[46\],32.23µm
_0017_,32.22µm
_0008_,32.205µm
term_mid\[24\],32.09µm
term_low\[3\],32.05µm
_0257_,32.04µm
p_hh\[6\],31.89µm
_0292_,31.555µm
_0080_,31.52µm
_0066_,31.44µm
_0131_,31.44µm
