Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_147_869,VPWR,li1,407.1000,410.7200,1.799999
FILLER_147_865,VPWR,li1,404.1100,410.7200,1.799999
FILLER_147_853,VPWR,li1,400.6600,410.7200,1.799999
FILLER_147_841,VPWR,li1,395.1400,410.7200,1.799999
FILLER_147_837,VPWR,li1,391.2300,410.7200,1.799999
FILLER_147_825,VPWR,li1,387.7800,410.7200,1.799999
FILLER_147_813,VPWR,li1,382.2600,410.7200,1.799999
FILLER_147_809,VPWR,li1,378.3500,410.7200,1.799999
FILLER_147_797,VPWR,li1,374.9000,410.7200,1.799999
FILLER_147_785,VPWR,li1,369.3800,410.7200,1.799999
FILLER_147_781,VPWR,li1,365.4700,410.7200,1.799998
FILLER_147_769,VPWR,li1,362.0200,410.7200,1.799998
FILLER_147_757,VPWR,li1,356.5000,410.7200,1.799997
FILLER_147_753,VPWR,li1,352.5900,410.7200,1.799996
FILLER_147_741,VPWR,li1,349.1400,410.7200,1.799996
FILLER_147_729,VPWR,li1,343.6200,410.7200,1.799995
FILLER_147_725,VPWR,li1,339.7100,410.7200,1.799995
FILLER_147_713,VPWR,li1,336.2600,410.7200,1.799995
FILLER_147_701,VPWR,li1,330.7400,410.7200,1.799994
FILLER_147_699,VPWR,li1,327.2900,410.7200,1.799993
FILLER_147_693,VPWR,li1,325.6800,410.7200,1.799993
FILLER_147_681,VPWR,li1,321.5400,410.7200,1.799993
FILLER_147_673,VPWR,li1,315.3300,410.7200,1.799989
FILLER_147_669,VPWR,li1,313.9500,410.7200,1.799987
FILLER_147_657,VPWR,li1,310.5000,410.7200,1.799985
FILLER_147_645,VPWR,li1,304.9800,410.7200,1.799982
FILLER_147_641,VPWR,li1,301.0700,410.7200,1.799979
FILLER_147_629,VPWR,li1,297.6200,410.7200,1.799978
FILLER_147_617,VPWR,li1,292.1000,410.7200,1.799976
FILLER_147_614,VPWR,li1,288.4200,410.7200,1.799976
FILLER_147_606,VPWR,li1,286.1200,410.7200,1.799976
FILLER_147_589,VPWR,li1,277.1500,410.7200,1.799979
FILLER_147_585,VPWR,li1,275.3100,410.7200,1.799981
FILLER_147_573,VPWR,li1,271.8600,410.7200,1.799983
FILLER_147_569,VPWR,li1,267.4900,410.7200,1.799979
FILLER_147_561,VPWR,li1,265.4200,410.7200,1.799978
FILLER_147_556,VPWR,li1,262.2000,410.7200,1.799976
FILLER_147_540,VPWR,li1,254.8400,410.7200,1.799972
FILLER_147_529,VPWR,li1,249.5500,410.7200,1.799972
FILLER_147_517,VPWR,li1,246.1000,410.7200,1.799972
FILLER_147_505,VPWR,li1,240.5800,410.7200,1.799973
FILLER_147_501,VPWR,li1,236.6700,410.7200,1.799974
FILLER_147_489,VPWR,li1,233.2200,410.7200,1.799976
FILLER_147_477,VPWR,li1,227.7000,410.7200,1.799979
FILLER_147_470,VPWR,li1,223.1000,410.7200,1.799981
FILLER_147_461,VPWR,li1,218.5000,410.7200,1.799981
FILLER_147_449,VPWR,li1,214.8200,410.7200,1.799978
FILLER_147_445,VPWR,li1,210.9100,410.7200,1.799975
FILLER_147_433,VPWR,li1,207.4600,410.7200,1.799975
FILLER_147_421,VPWR,li1,201.9400,410.7200,1.799975
FILLER_147_408,VPWR,li1,195.9600,410.7200,1.799975
FILLER_147_396,VPWR,li1,190.4400,410.7200,1.799976
FILLER_147_389,VPWR,li1,185.1500,410.7200,1.799980
FILLER_147_377,VPWR,li1,181.7000,410.7200,1.799983
FILLER_147_365,VPWR,li1,176.1800,410.7200,1.799988
FILLER_147_358,VPWR,li1,171.5800,410.7200,1.799991
FILLER_147_349,VPWR,li1,166.9800,410.7200,1.799991
