Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_147_869,VGND,li1,406.1800,413.4400,0.000022
FILLER_147_862,VGND,li1,403.4200,413.4400,0.000021
FILLER_147_850,VGND,li1,399.2800,413.4400,0.000021
FILLER_147_845,VGND,li1,394.4500,413.4400,0.000019
FILLER_147_841,VGND,li1,393.3000,413.4400,0.000019
FILLER_147_834,VGND,li1,390.5400,413.4400,0.000018
FILLER_147_822,VGND,li1,386.4000,413.4400,0.000017
FILLER_147_817,VGND,li1,381.5700,413.4400,0.000015
FILLER_147_813,VGND,li1,380.4200,413.4400,0.000015
FILLER_147_806,VGND,li1,377.6600,413.4400,0.000013
FILLER_147_794,VGND,li1,373.5200,413.4400,0.000011
FILLER_147_789,VGND,li1,368.6900,413.4400,0.000014
FILLER_147_785,VGND,li1,367.5400,413.4400,0.000015
FILLER_147_783,VGND,li1,365.9300,413.4400,0.000015
FILLER_147_775,VGND,li1,363.8600,413.4400,0.000016
FILLER_147_761,VGND,li1,355.8100,413.4400,0.000018
FILLER_147_757,VGND,li1,354.6600,413.4400,0.000018
FILLER_147_750,VGND,li1,351.9000,413.4400,0.000017
FILLER_147_738,VGND,li1,347.7600,413.4400,0.000016
FILLER_147_733,VGND,li1,342.9300,413.4400,0.000015
FILLER_147_729,VGND,li1,341.7800,413.4400,0.000015
FILLER_147_722,VGND,li1,339.0200,413.4400,0.000014
FILLER_147_710,VGND,li1,334.8800,413.4400,0.000012
FILLER_147_705,VGND,li1,330.0500,413.4400,0.000010
FILLER_147_701,VGND,li1,328.9000,413.4400,0.000009
FILLER_147_694,VGND,li1,326.1400,413.4400,0.000008
FILLER_147_682,VGND,li1,322.0000,413.4400,0.000008
FILLER_147_677,VGND,li1,317.1700,413.4400,0.000009
FILLER_147_673,VGND,li1,316.0200,413.4400,0.000009
FILLER_147_666,VGND,li1,313.2600,413.4400,0.000009
FILLER_147_654,VGND,li1,309.1200,413.4400,0.000010
FILLER_147_649,VGND,li1,304.2900,413.4400,0.000010
FILLER_147_645,VGND,li1,303.1400,413.4400,0.000010
FILLER_147_638,VGND,li1,300.3800,413.4400,0.000010
FILLER_147_626,VGND,li1,296.2400,413.4400,0.000009
FILLER_147_621,VGND,li1,291.4100,413.4400,0.000009
FILLER_147_617,VGND,li1,290.2600,413.4400,0.000009
FILLER_147_608,VGND,li1,287.0400,413.4400,0.000009
FILLER_147_602,VGND,li1,282.6700,413.4400,0.000008
FILLER_147_598,VGND,li1,281.5200,413.4400,0.000008
