net,length_um
net797,1.63858mm
_09690_,1.30331mm
net65,1.28666mm
net798,1.25686mm
net796,1.01833mm
_09264_,991.8µm
net800,981.58µm
_09646_,942.61µm
_09308_,930.69µm
_09679_,886.67µm
_09340_,841.17µm
_09439_,834.04µm
_09613_,833.93µm
_09220_,831.825µm
_09384_,812.26µm
_09275_,811.21µm
_09155_,797.85µm
_09417_,783.25µm
_09286_,774.11µm
_09668_,772.94µm
_09460_,770.48µm
_09319_,762.26µm
clknet_0_clk,745.65µm
_09362_,744.6µm
_09482_,735.07µm
_09297_,731.33µm
_09199_,728.4µm
_09602_,722µm
_09428_,713.08µm
_09471_,711.41µm
_09449_,708.34µm
_09242_,696.45µm
_09188_,680.89µm
_02338_,661.92µm
_09351_,658.53µm
net460,657.62µm
_09406_,651.55µm
_04182_,638.37µm
_09231_,633.12µm
_09504_,619.61µm
_09373_,615.8µm
_09657_,612.45µm
_09177_,605.88µm
_09166_,603.62µm
net799,596.71µm
_09253_,589.29µm
_09210_,584.62µm
_09635_,582.185µm
_09624_,579.5µm
_09144_,558.79µm
_06441_,551.11µm
_09581_,548.33µm
_05043_,547.01µm
_09395_,539.37µm
_01860_,528.42µm
_09493_,522.98µm
_09592_,495.74µm
clknet_3_7_0_clk,478.86µm
clknet_3_0_0_clk,478.76µm
_09515_,475.07µm
_06401_,474.19µm
_01888_,469.49µm
clknet_3_4_0_clk,455.31µm
_01855_,453.57µm
_09526_,449.195µm
_04259_,449µm
_01871_,446.22µm
clknet_3_5_0_clk,445.46µm
_09329_,441.9µm
net32,432.46µm
_06402_,430.8µm
net461,428.56µm
net454,422.75µm
net483,420.51µm
net1192,408.01µm
net760,405.28µm
net673,403.47µm
net734,377.14µm
_05044_,377.06µm
net524,372.32µm
_02502_,372.01µm
net757,370.04µm
net30,370µm
net28,368.6µm
_01460_,367.94µm
net521,367.805µm
_06985_,367.55µm
net29,366.96µm
net754,366.08µm
net752,364.72µm
_00418_,363.4µm
net31,359.6µm
net473,357.98µm
_06605_,357.63µm
net686,353.78µm
net612,351.63µm
_02278_,349.98µm
net1037,349µm
clknet_3_1_0_clk,347.02µm
_00419_,345.56µm
net501,345.08µm
_01857_,344.92µm
_00421_,344.68µm
net476,343.83µm
net666,336.93µm
_04555_,336.595µm
clknet_3_3_0_clk,336.12µm
net769,334.25µm
_06521_,333.39µm
_00422_,332.62µm
net546,332.29µm
net481,329.8µm
net725,328.78µm
net551,326.7µm
net867,325.87µm
net729,325.29µm
net480,322.06µm
net484,321.92µm
net701,320.95µm
net705,320.03µm
net559,318.355µm
net23,315.82µm
a_h\[2\],314.7µm
a_l\[8\],312.91µm
net45,312.54µm
net719,310.34µm
net716,309.14µm
net486,308.695µm
clk,306.25µm
net675,303.66µm
net604,302.885µm
net166,301.26µm
net488,301µm
net717,300.355µm
_04260_,300.1µm
p_hl\[20\],299.68µm
net765,297.875µm
clknet_3_6_0_clk,297.16µm
net709,296.865µm
net506,295.07µm
net42,294.48µm
clknet_3_2_0_clk,294.18µm
p_hl\[21\],292.44µm
_02588_,292.19µm
net763,291.51µm
net692,290.29µm
net728,290.09µm
net610,289.83µm
_06761_,288.92µm
net783,288.54µm
net485,286.72µm
net707,285.44µm
net768,284.91µm
net120,283.88µm
net510,283.14µm
net52,283.08µm
net555,282.79µm
net482,282.64µm
net43,282.07µm
net54,279.05µm
net478,278.325µm
net702,278.29µm
net48,277.22µm
p_hl\[22\],277.03µm
net720,275.8µm
net762,275.14µm
net586,274.79µm
net51,274.37µm
net455,274.31µm
net56,274.28µm
net515,274.02µm
net511,273.96µm
net538,273.4µm
p_hl\[23\],272.8µm
net993,271.48µm
net660,270.92µm
_01856_,270.27µm
net633,270.2µm
p_hl\[19\],270.19µm
net53,269.61µm
net49,268.97µm
net50,268.63µm
net622,268.62µm
net596,268.61µm
net516,266.665µm
net721,266.52µm
net474,265.67µm
net715,265.32µm
net766,265.27µm
net452,264.99µm
net718,264.66µm
_00065_,263.885µm
net568,262.74µm
net562,262.03µm
net713,260.74µm
net726,260.46µm
net700,260.44µm
net487,260µm
_06480_,259.89µm
_06867_,259.61µm
net47,259.56µm
net587,259.49µm
net632,257.97µm
net690,257.63µm
net782,257.25µm
_02362_,257.035µm
net689,256.1µm
net661,255.12µm
net549,254.98µm
net571,254.89µm
p_hl\[29\],252.48µm
net512,251.2µm
net706,251.2µm
net504,251µm
net663,250.745µm
a_l\[6\],250.36µm
net495,250.27µm
net1063,250.14µm
net884,250µm
net502,249.505µm
net731,249.49µm
net628,249.185µm
net669,247.74µm
net567,246.66µm
net680,246.04µm
net646,245.49µm
net89,244.26µm
net489,244.02µm
net759,244.02µm
p_hl\[17\],243.84µm
_06681_,243.545µm
net730,243.36µm
net776,241.53µm
p_hl\[28\],241.44µm
net774,241.01µm
net576,240.74µm
net738,240.51µm
a_l\[1\],240.095µm
net750,239.51µm
net532,239.44µm
net755,238.83µm
net727,238.825µm
_00064_,238.505µm
net475,238.43µm
net746,238.39µm
net629,238.155µm
p_hl\[16\],237.35µm
net708,235.745µm
p_hl\[25\],235.73µm
p_hl\[24\],234.83µm
p_hl\[18\],234.78µm
net685,233.785µm
net90,233.32µm
net561,232.915µm
_00055_,232.845µm
net627,232.31µm
_07234_,231.93µm
net46,231.14µm
net753,230.33µm
net552,230.12µm
net616,229.57µm
net756,229.08µm
_01758_,228.83µm
_00349_,228.76µm
net500,228.25µm
net626,227.88µm
net771,227.77µm
_00035_,227.4µm
net574,226.55µm
net513,226.395µm
net477,225.97µm
net624,225.84µm
net623,225.76µm
net520,225.385µm
net696,225.16µm
net606,225.02µm
net957,224.97µm
net777,224.54µm
net499,224.355µm
net540,223.08µm
net575,222.975µm
net779,222.83µm
net479,222.66µm
net645,222.205µm
net735,221.84µm
b_l\[8\],221.38µm
net697,221.13µm
net6,220.84µm
_02082_,220.83µm
net638,220.72µm
net815,219.85µm
net712,219.6µm
net671,219.59µm
net3,219.38µm
net662,218.99µm
net509,218.93µm
net573,218.73µm
net767,218.59µm
net1081,218.5µm
p_hl\[27\],217.64µm
net634,217.16µm
net533,217.01µm
net519,216.785µm
p_hl\[31\],216.23µm
net644,215.99µm
net505,215.65µm
a_h\[0\],214.98µm
net588,214.97µm
net5,214.9µm
net711,214.75µm
_00054_,214.525µm
b_h\[3\],214.51µm
net736,214.44µm
net621,214.36µm
net682,214.06µm
a_l\[7\],213.78µm
_04133_,213.65µm
p_hl\[30\],213.62µm
net963,213.3µm
_00434_,213.1µm
net569,212.7µm
net528,212.36µm
p_hl\[26\],212.27µm
net647,212.115µm
net7,212.1µm
net710,212.045µm
net772,211.92µm
net722,210.88µm
net492,210.8µm
net615,210.68µm
net656,210.44µm
net554,209.64µm
net670,208.98µm
net780,208.97µm
net1092,208.81µm
net106,208.48µm
net563,208.36µm
net578,206.3µm
net600,206.23µm
net584,205.87µm
net525,205.69µm
net570,205.26µm
net539,204.84µm
net1090,204.54µm
a_l\[0\],204.29µm
net999,204µm
net589,203.8µm
net630,203.29µm
net732,203.15µm
b_h\[15\],203.095µm
net694,202.84µm
net566,202.76µm
net491,202.395µm
p_hl\[0\],201.96µm
net703,201.68µm
a_h\[15\],199.86µm
net122,198.48µm
net556,198.205µm
_00379_,198.045µm
clknet_leaf_40_clk,197.7µm
net579,197.61µm
net2,196.66µm
net522,196.57µm
net57,196.34µm
net605,196.1µm
p_hl\[7\],196.05µm
a_h\[1\],195.8µm
net655,195.72µm
b_l\[11\],195.71µm
net724,195.03µm
net844,194.185µm
net747,194µm
net691,193.57µm
net553,193.55µm
net657,193.145µm
p_hl\[1\],193.09µm
net550,192.85µm
net4,192.82µm
net116,192.68µm
net992,192.06µm
net778,191.9µm
net770,191.77µm
net518,191.565µm
p_hl\[2\],191.1µm
net625,190.4µm
p_hl\[6\],189.52µm
net498,189.37µm
net514,188.885µm
net773,188.81µm
net674,188.605µm
p_hl\[9\],188.41µm
net695,188.25µm
net640,188.105µm
_00385_,187.975µm
net599,187.935µm
net33,187.7µm
net557,187.53µm
net619,186.81µm
p_hl\[11\],186.69µm
net649,186.66µm
net618,186.61µm
_00053_,186.38µm
net654,185.8µm
net64,185.76µm
net714,185.6µm
p_hl\[8\],185.51µm
net527,185.22µm
net744,185.03µm
net761,184.2µm
net526,183.61µm
net603,183.42µm
net652,182.94µm
net105,182.72µm
net764,182.41µm
net668,181.4µm
net985,180.66µm
net693,180.56µm
net684,180.52µm
b_l\[4\],180.44µm
net698,179.93µm
net636,179.78µm
net665,179.7µm
net530,179.62µm
p_hl\[10\],179.36µm
net503,177.93µm
b_h\[12\],177.36µm
_00435_,177.31µm
net611,176.97µm
net786,176.76µm
net678,176.49µm
b_h\[5\],176.355µm
net745,176.215µm
net749,176.06µm
p_hl\[3\],176.04µm
_00352_,175.815µm
_02613_,175.75µm
net614,175.715µm
clknet_leaf_12_clk,175.2µm
net517,175.11µm
net973,174.74µm
net1033,174.29µm
net787,172.985µm
p_hl\[4\],172.92µm
net577,172.745µm
_06440_,172.34µm
net667,172.19µm
net494,171.8µm
net792,171.7µm
p_hl\[13\],171.48µm
net1001,171.38µm
net44,171.22µm
net572,171.18µm
net564,170.78µm
net558,170.72µm
net617,170.59µm
net704,170.56µm
net751,169.96µm
net1197,169.92µm
net653,169.12µm
p_hl\[5\],169.1µm
net153,169µm
net976,168.88µm
net55,168.54µm
net631,168.26µm
net643,168.07µm
net651,167.88µm
p_hl\[12\],167.66µm
net788,167.53µm
net585,167.13µm
net541,167.08µm
p_hl\[14\],166.92µm
net1137,166.29µm
net127,166.28µm
net737,166.19µm
_00020_,165.405µm
net565,165.26µm
_00052_,165.245µm
net508,164.56µm
net1089,164.46µm
_07100_,164.42µm
a_h\[14\],164.21µm
_00074_,164.085µm
a_l\[9\],163.09µm
net924,163.02µm
net658,162.85µm
net1026,162.26µm
net497,162.17µm
net943,161.93µm
net496,161.805µm
net507,161.79µm
net894,161.7µm
net642,161.425µm
net741,160.3µm
net597,159.27µm
clknet_leaf_39_clk,158.94µm
net1153,158.495µm
net13,158.44µm
net739,158.12µm
net775,156.34µm
net1398,156.04µm
net581,155.73µm
net972,155.52µm
net24,155.06µm
net740,154.95µm
net1035,154.06µm
net1087,154.025µm
net114,153.64µm
b_l\[1\],153.49µm
b_l\[14\],152.98µm
net531,152.8µm
net795,152.55µm
net601,152.14µm
net723,151.765µm
clknet_leaf_20_clk,151.76µm
net595,151.52µm
net639,151.44µm
net789,151.13µm
a_h\[11\],150.91µm
net1023,150.79µm
net964,150.62µm
net664,150.43µm
net677,150.34µm
net1093,149.9µm
net953,149.62µm
net896,149.49µm
net123,148.96µm
clknet_leaf_13_clk,148.96µm
net25,148.82µm
net535,148.755µm
net915,147.5µm
net899,146.89µm
net987,146.72µm
net124,146.66µm
_01756_,146.36µm
net92,146.24µm
net493,145.96µm
b_h\[2\],145.38µm
net699,145.26µm
a_l\[14\],144.59µm
p_lh\[9\],144.56µm
b_l\[13\],144.54µm
a_l\[2\],144.44µm
net75,144.4µm
net620,144.32µm
clknet_leaf_21_clk,144.24µm
b_l\[10\],143.6µm
net609,143.28µm
net659,143.1µm
net1202,143.04µm
net955,142.79µm
net117,142.66µm
net648,142.65µm
net125,142.6µm
net895,142.32µm
net115,142.18µm
b_l\[5\],142.08µm
b_l\[12\],141.93µm
net650,141.92µm
net1052,141.9µm
net58,141.72µm
_00051_,140.785µm
clknet_leaf_41_clk,140.62µm
net91,139.46µm
net545,139.1µm
net126,139µm
net687,138.415µm
net607,138.37µm
net490,138.32µm
clknet_leaf_45_clk,137.79µm
clknet_leaf_5_clk,137.42µm
net94,136.74µm
net79,136.54µm
net793,136.16µm
net676,135.93µm
net942,135.84µm
net1171,135.68µm
net592,135.54µm
net93,135.36µm
net598,133.415µm
a_h\[4\],133.4µm
net1046,133.14µm
net938,132.54µm
net602,131.815µm
b_l\[9\],131.44µm
net590,131.38µm
net14,131.36µm
net1169,130.57µm
net59,130.46µm
net548,130.1µm
net635,130.1µm
_01641_,129.96µm
net1164,129.875µm
net961,129.57µm
net1038,128.17µm
net544,128.08µm
p_lh\[8\],127.94µm
net542,127.86µm
_07587_,127.515µm
net78,127.16µm
net807,127.03µm
net95,126.78µm
net60,126.4µm
net1411,125.52µm
net96,124.94µm
net1150,124.9µm
net914,124.68µm
a_h\[13\],124.5µm
net683,124.29µm
net781,123.97µm
_00370_,123.865µm
net1110,123.82µm
_00063_,123.785µm
b_l\[6\],123.76µm
net975,123.61µm
net61,123.44µm
clknet_leaf_37_clk,123.24µm
net733,123.18µm
net937,122.76µm
net113,122.22µm
net1152,122.1µm
net791,121.88µm
net97,121.72µm
net679,121.43µm
b_l\[2\],121.09µm
net885,121.06µm
net80,120.76µm
net112,120.36µm
net136,120.345µm
clknet_leaf_28_clk,120.26µm
net129,119.92µm
net128,119.58µm
net108,119.36µm
net111,119.08µm
net790,118.41µm
clknet_leaf_31_clk,117.78µm
_00050_,117.625µm
a_l\[11\],116.96µm
net98,116.78µm
net994,116.51µm
net109,116.32µm
net523,116.1µm
net1425,115.43µm
net954,115.235µm
_06999_,114.8µm
net748,114.8µm
net851,114.37µm
net970,114.34µm
a_h\[10\],114.2µm
_00350_,113.725µm
net878,112.85µm
net1094,112.72µm
net118,112.68µm
_03605_,112.64µm
net672,112.32µm
net1201,112.02µm
_00384_,111.845µm
p_lh\[7\],111.84µm
net100,111.46µm
net1426,111.08µm
a_l\[5\],110.095µm
_00872_,109.87µm
p_lh\[13\],109.83µm
_07586_,109.48µm
p_hl\[15\],109.48µm
net785,109.4µm
clknet_leaf_26_clk,109.3µm
net1157,109.28µm
b_l\[0\],108.71µm
a_l\[10\],108.6µm
net1414,108.28µm
a_l\[13\],108.23µm
net688,107.705µm
net107,107.7µm
net119,107.7µm
_00021_,107.18µm
clknet_leaf_29_clk,107.04µm
net101,106.82µm
net104,106.78µm
_00033_,106.74µm
_01837_,106.58µm
net743,106.43µm
_00351_,106.425µm
net962,105.96µm
net87,105.76µm
net529,105.46µm
net103,105.44µm
net102,105.4µm
net580,104.87µm
net583,104.84µm
net742,104.68µm
net1431,104.44µm
net591,104.26µm
net1017,103.76µm
_00151_,103.685µm
net594,103.48µm
net1007,102.855µm
net1076,102.46µm
p_lh\[4\],102.44µm
net608,102.35µm
net81,101.22µm
net543,100.98µm
_01642_,100.84µm
_06845_,100.38µm
net1170,100.3µm
p_lh\[6\],100µm
net911,99.92µm
net582,99.84µm
net1200,99.62µm
_00019_,99.48µm
_07113_,99.44µm
_07584_,99.44µm
b_l\[15\],99.025µm
net1109,98.88µm
net1406,98.82µm
p_lh\[12\],98.67µm
_00369_,98.295µm
_03151_,97.91µm
_00368_,97.825µm
net41,97.82µm
net1029,97.52µm
net40,97.28µm
_02669_,97.11µm
net1203,96.99µm
clknet_leaf_15_clk,96.46µm
net1031,96.2µm
_00381_,95.705µm
net411,95.705µm
clknet_leaf_44_clk,95.36µm
p_lh\[28\],95.02µm
net133,95.015µm
_00049_,94.785µm
net1417,94.38µm
net1000,94.24µm
net62,94.22µm
net534,94.01µm
net854,93.595µm
p_lh\[3\],93.48µm
net547,93.29µm
net641,93.28µm
p_lh\[29\],93.07µm
_07527_,92.7µm
_00382_,92.46µm
net870,92.405µm
_00383_,91.405µm
_08149_,91.26µm
_05347_,91.12µm
net536,90.82µm
_01751_,90.515µm
net82,90µm
net560,90µm
clknet_leaf_27_clk,89.8µm
net1075,89.58µm
net637,89.33µm
_02759_,89.25µm
net1423,89.24µm
_08619_,89.16µm
net63,88.78µm
net965,88.56µm
net135,87.905µm
clknet_leaf_19_clk,87.9µm
_02672_,87.66µm
_06849_,87.64µm
_01653_,87.56µm
net86,87.24µm
net1410,86.42µm
net1043,86.32µm
_08625_,85.92µm
net839,85.92µm
b_l\[3\],85.82µm
_02925_,85.79µm
p_lh\[2\],85.6µm
_08624_,85.56µm
_00725_,85.48µm
net930,84.98µm
_04860_,84.86µm
net1042,84.8µm
clknet_leaf_36_clk,84.76µm
net537,84.395µm
_02760_,83.84µm
clknet_leaf_32_clk,83.54µm
p_lh\[14\],83.17µm
_03295_,83.1µm
_02589_,83.04µm
_00353_,83µm
net1404,82.93µm
_00836_,82.88µm
_00204_,82.725µm
_00072_,82.28µm
net681,82.23µm
net968,82.16µm
_00008_,81.9µm
_08373_,81.81µm
net1412,81.58µm
p_lh\[15\],81.48µm
net37,81.42µm
net784,81.14µm
_07256_,81.07µm
net35,80.96µm
_02671_,80.64µm
clknet_leaf_38_clk,80.62µm
net36,80.58µm
_02547_,80.4µm
a_l\[12\],80.26µm
net15,79.78µm
_08040_,79.715µm
net801,79.64µm
_05889_,79.63µm
_07361_,79.57µm
_03169_,79.42µm
net34,79.12µm
net1095,79.12µm
_00203_,79.025µm
_00066_,78.9µm
net38,78.66µm
net39,78.66µm
net84,78.46µm
net1022,78.42µm
_04861_,78.36µm
_00386_,78.225µm
_05896_,78.1µm
_01056_,78.07µm
_05041_,77.98µm
net1409,77.92µm
a_l\[4\],77.88µm
_00835_,77.78µm
_02917_,77.74µm
net984,77.54µm
_07257_,77.16µm
net1161,77.16µm
_06537_,77.1µm
term_low\[22\],77.06µm
_00685_,76.98µm
_05463_,76.76µm
_05890_,76.18µm
net83,76.18µm
p_lh\[5\],76.06µm
_02928_,76.01µm
_01595_,75.62µm
net85,75.34µm
net137,75.1µm
net1082,75.07µm
_00200_,75.045µm
_06095_,74.98µm
a_h\[9\],74.92µm
_00199_,74.725µm
clknet_leaf_24_clk,74.7µm
clknet_leaf_7_clk,74.66µm
clknet_leaf_42_clk,74.48µm
clknet_leaf_9_clk,74.36µm
_07727_,74.26µm
a_l\[15\],74µm
_07904_,73.96µm
_01218_,73.8µm
_03171_,73.8µm
b_h\[11\],73.47µm
_07772_,73.4µm
_00724_,73.38µm
net883,72.94µm
_08139_,72.93µm
_03298_,72.64µm
clknet_leaf_16_clk,72.56µm
_09320_,72.395µm
_05819_,72.18µm
_00987_,72.16µm
_00693_,72.01µm
clknet_leaf_56_clk,72µm
_05888_,71.67µm
_10058_,71.52µm
net593,71.42µm
_08210_,71.13µm
net1387,71.08µm
a_h\[8\],70.98µm
_03163_,70.58µm
_05979_,70.4µm
_00829_,70.18µm
_03035_,70.08µm
net982,69.78µm
net1061,69.68µm
_00662_,69.64µm
_01991_,69.64µm
_00260_,69.48µm
_07925_,69.47µm
term_low\[17\],69.46µm
_00348_,69.28µm
_00387_,69.18µm
b_h\[4\],69.16µm
_02243_,69µm
_08494_,68.84µm
_04416_,68.74µm
clknet_leaf_17_clk,68.72µm
net936,68.64µm
_00048_,68.62µm
_09127_,68.46µm
_08986_,68.36µm
_07241_,68.25µm
_10069_,68.18µm
_00409_,67.92µm
_02916_,67.92µm
_09977_,67.74µm
_02762_,67.56µm
_05604_,67.48µm
_05893_,67.2µm
_05978_,67.18µm
net1421,66.92µm
_09816_,66.72µm
_07127_,66.68µm
clknet_leaf_11_clk,66.6µm
_09265_,66.58µm
net865,66.58µm
_00150_,66.565µm
p_ll_pipe\[8\],66.56µm
_00834_,66.34µm
_02858_,66.32µm
_00067_,66.225µm
_06696_,66.225µm
_02546_,66.1µm
_03535_,65.98µm
_09266_,65.96µm
clknet_leaf_18_clk,65.82µm
clknet_leaf_30_clk,65.81µm
term_low\[23\],65.73µm
_04366_,65.71µm
_03027_,65.66µm
clknet_leaf_60_clk,65.66µm
_05177_,65.52µm
_04925_,65.48µm
_01101_,65.26µm
_09658_,65.24µm
_00201_,65.145µm
_05899_,65.1µm
_05882_,64.94µm
_02899_,64.88µm
_07312_,64.86µm
_05883_,64.84µm
_00197_,64.74µm
net1034,64.66µm
_05881_,64.64µm
term_low\[16\],64.52µm
_06894_,64.45µm
_08988_,64.37µm
_02545_,64.36µm
_07703_,64.34µm
_10115_,64.2µm
_09661_,64.03µm
_06836_,64.02µm
_03881_,63.77µm
_09716_,63.64µm
_00653_,63.32µm
_05976_,63.18µm
net897,63.16µm
_09123_,63.02µm
_00953_,62.92µm
_03882_,62.86µm
_08437_,62.86µm
_01124_,62.6µm
_06889_,62.42µm
_01059_,62.39µm
_00380_,62.32µm
_06984_,62.3µm
_01678_,62.28µm
_00275_,62.265µm
_00371_,62.2µm
_08436_,62.14µm
_03799_,62.06µm
_07123_,62.06µm
net1407,62.04µm
_07893_,61.95µm
_03287_,61.94µm
_07016_,61.86µm
_05305_,61.66µm
_07051_,61.62µm
_05467_,61.55µm
a_h\[7\],61.54µm
_05040_,61.52µm
_08230_,61.485µm
_04778_,61.32µm
_00324_,61.305µm
clknet_leaf_10_clk,61.24µm
_09480_,61.18µm
b_h\[1\],61.12µm
net836,61.08µm
_08167_,60.995µm
_03158_,60.82µm
_10008_,60.74µm
_00608_,60.56µm
_07678_,60.375µm
_00818_,60.3µm
_00467_,60.2µm
_00198_,60.165µm
_07954_,60.165µm
_09114_,60.13µm
_05616_,60.1µm
_07453_,60.02µm
_01120_,59.96µm
_06709_,59.82µm
_06005_,59.8µm
b_h\[6\],59.74µm
_02670_,59.54µm
_08362_,59.45µm
